bccgcoD_0;bpaadD_0;bpcgrU_0;bpcinV_0;bpcnuM_0;bprnaM_0;crN_0;credattiM_0;ctY_0;cuR_0;naF_0;ostauZ_0;ptE_0;reP_0;reP_1;teL_0;tsccoD_0;upddattiM_0;vacbpR_0
;01;4111LUCAS;4111LUCAS;4111LUCAS;LUCAS TRADING;CI-ABJ-2016-B-13439;2022-06-30T22:19:17; ;XOF; ;0.0;CH15;SERGEMOTTO;OLGA; ;100;2024-08-13T06:46:05;NOR
;01;4111LUNE;4111LUNE;4111LUNE;KASSIR MOUSTAPHA (LUNE);CI-TDI-2020.A.826;2022-01-25T23:52:22; ;XOF;2048866 B;2000000.0;CHFM10;DABA;OLGA; ;400;2025-03-24T09:24:42;NOR
;C1;4111LUXURY;4111LUXURY;4111LUXURY;HOTEL AND LUXURY HOUSING;CI-ABJ2016B30348;2023-11-08T21:22:06; ;XOF;1733438Y;2000000.0;CH10;DABA;OLGA;0708280505;400;2025-06-13T05:48:10;AIRSI
;01;4111LYNESSA;4111LYNESSA;4111LYNESSA;ETS LYNESSA;CI-ABJ-2010-B-1546;2022-11-12T01:49:01; ;XOF;1105379Q;1000000.0;CC1;SERGEMOTTO;OLGA;0707891336;100;2024-08-13T06:46:54;NOR
;C1;4111MAAZOU;4111MAAZOU;4111MAAZOU;MAAZOU HABIBOU; ;2024-06-12T03:55:29;ABIDJAN;XOF; ;2000000.0;CC1;SYNA;OLGA;0140977276;300;2024-08-10T05:48:42;AIRSI
;01;4111MAESTRO;4111MAESTRO;4111MAESTRO;MAESTRO II PLATEAUX; ;2022-03-10T06:30:47; ;XOF; ;300000.0;CC1;DABA;OLGA;0758945085;400;2024-08-13T07:26:21;AIRSI
;01;4111MAGVRIDI;4111MAGVRIDI;4111MAGVRIDI;MAGASIN DETAIL  VRIDI; ;2021-12-05T01:20:15;ABIDJAN;XOF; ;5000000.0;ES3; ; ; ;300;2024-05-13T00:09:51;AIRSI
;01;4111MAHAN;4111MAHAN;4111MAHAN;MAHAN JEAN PAULIN; ;2022-03-02T04:28:52; ;XOF; ;1000000.0;CC1;SYNA; ; ;300;2022-03-02T04:28:52;AIRSI
;01;4111MAHANAIM;4111MAHANAIM;4111MAHANAIM;MAHANAIM BTP SERVICE ;CI-ABJ-2020-B-13584;2022-04-09T02:09:11; ;XOF;2041006S;1000000.0;CC1;SERGEMOTTO;SERGEMOTTO;0758026311;100;2024-08-13T06:47:25;NOR
;C1;4111MAJESTIC;4111MAJESTIC;4111MAJESTIC;MAJESTIC ONE;CI-ABJ2017M-29159;2023-10-11T22:08:44;ABIBJAN;XOF;1444172U;1500000.0;ES3;DABA;OLGA;2722441710;400;2025-04-09T00:44:12;NOR
;01;4111MAKAGBE;4111MAKAGBE;4111MAKAGBE;CAMARA MAKAGBE; ;2023-01-18T00:10:53;ABIDJAN;XOF; ;1000000.0;CC1;SYNA;OLGA; ;300;2024-05-13T00:09:51;AIRSI
;01;4111MAKCOMTRADE;4111MAKCOMTRADE;4111MAKCOMTRADE;MAK COMMODITIE TRADING ;CI-ABJ-2018-B-32699;2022-10-06T00:37:17; ;XOF;1866781W;250000.0;CC1;TOURE;OLGA;0758395064;200;2024-05-13T00:09:51;AIRSI
;C1;4111MAKEY;4111MAKEY;4111MAKEY;MAKEY; ;2024-05-07T03:11:49;ABIDJAN;XOF; ;1500000.0;CH10;CODJO;OLGA;22421185;400;2025-04-03T21:18:48;NOR
;C2;4111MALIKA;4111MALIKA;4111MALIKA;ETS MALIKA - IDEAL MARKET;CIGRDBASSA32012-1-18;2024-06-13T04:54:14;BASSAM;XOF;2301198J;1000000.0;ES3;TOURE;OLGA;0708390539;200;2025-06-28T03:49:59;AIRSI
;C2;4111MAMIALAGOON;4111MAMIALAGOON;4111MAMIALAGOON;MAMIA LAGOON; ;2025-01-21T00:23:12;GRAND BASSAM;XOF;2404998C;0.0;CH15DFAC;ASSAMOI;OLGA;0708784678;400;2025-03-11T22:23:12;AIRSI
;01;4111MANDJOU;4111MANDJOU;4111MANDJOU;MANDJOU CORPORATION HOLDING;CI-ABJ-2020-B-08840;2022-10-27T04:57:15;ABIDJAN;XOF;2026787N;300000.0;CC1;DABA;OLGA;0789020208;400;2025-03-20T20:40:03;AIRSI
;C1;4111MANSOU-BING;4111MANSOU-BING;4111MANSOU-BING;MANSOURA BINGERVILLE ;CIABJ032023A103610;2024-05-18T05:04:05;ABIDJAN;XOF;2305181A;1000000.0;ES3;TOURE;OCTAVIE;0779623944;200;2025-05-19T22:02:22;AIRSI
;01;4111MANSOURA;4111MANSOURA;4111MANSOURA;MANSOURA ANGRE;CI-GRDBSM-2021-A2423;2023-02-28T06:31:46;ABIDJAN-KOUMASSI;XOF;2186427B;500000.0;CC1;TOURE;OLGA; ;200;2025-07-03T20:50:11;NOR
;C1;4111MAORI;4111MAORI;4111MAORI;MAORI SARL;CI-ABJ032022B1310467;2024-07-23T05:11:03;ABIDJAN;XOF;2300591X;1000000.0;CC1;DABA;OLGA;0709440812;400;2024-12-11T23:23:49;AIRSI
;01;4111MARCEL;4111MARCEL;4111MARCEL;KOUASSI YAO MARCEL; ;2022-03-11T20:30:26; ;XOF; ;500000.0;CC1;ASSAMOI;AYEKOUE;0707079773;400;2024-05-13T00:09:51;NOR
;01;4111MARIAM;4111MARIAM;4111MARIAM;SANOKO MARIAM; ;2022-12-30T07:14:39; ;XOF; ;5000000.0;CC1;HYACINTHEK;OLGA; ;300;2025-03-29T01:00:00;AIRSI
;C1;4111MARIUS;4111MARIUS;4111MARIUS;KOFFI MARIUS; ;2024-02-09T04:40:03;ABIDJAN;XOF; ;20000000.0;CC1;KANI;OLGA;0788061690;300;2024-08-31T20:15:20;AIRSI
;01;4111MARLIN-BLEU;4111MARLIN-BLEU;4111MARLIN-BLEU;LE MARLIN BLEU;CI-ABJ-2000-B-254245;2021-12-11T00:51:24; ;XOF;0191925 M;2000000.0;CHFM10;CODJO;OLGA; ;400;2025-03-19T23:41:36;NOR
;C1;4111MARLY;4111MARLY;4111MARLY;HOTEL LE MARLY;CI-ABJ2014B3247;2023-12-21T00:45:55;ABIDJAN;XOF;1417823E;500000.0;CH10;CODJO;OLGA;2721212151;400;2025-03-25T21:01:43;AIRSI
;C1;4111MARMITE;4111MARMITE;4111MARMITE;LA MARMITE DE KIM;CIABJ32018A10-03508;2024-05-07T02:54:24;ABIDJAN;XOF;0815867U;1500000.0;CHFM10;CODJO;OLGA;0707329080;400;2025-06-17T02:10:55;AIRSI
;01;4111MARTHE;4111MARTHE;4111MARTHE;N'DOUA MARTHE; ;2022-02-18T23:38:32; ;XOF; ;5000000.0;CC1;SYNA;OLGA; ;300;2024-05-13T00:09:51;AIRSI
;C1;4111MARTHE-KAH;4111MARTHE-KAH;4111MARTHE-KAH;GUEI MARTHE KAH; ;2024-01-04T07:22:09;ABIDJAN;XOF; ;30000000.0;CC1;KANI;OLGA;0778018740;300;2024-09-01T00:09:35;AIRSI
;01;4111MARTINEZ;4111MARTINEZ;4111MARTINEZ;GNAKOURI MARTINEZ; ;2021-09-07T23:11:58;ABIDJAN;XOF; ;2000000.0;CC1;KANI;OLGA;0574255185;300;2025-05-21T05:43:28;AIRSI
;C1;4111MARTYR;4111MARTYR;4111MARTYR;TOTAL MARTYR;CI-ABJ-2013-A-7034;2023-12-06T23:58:34; ;XOF;1336452Y;300000.0;CC1;SERAPHIN;OLGA;2722440764;900;2025-06-13T22:45:54;NOR
;01;4111MARYLISE;4111MARYLISE;4111MARYLISE;KOUASSI AHOU MARYLISE; ;2021-08-30T23:55:18; ;XOF; ;8000000.0;CC1; ; ;0585490674;300;2024-05-13T00:09:51;AIRSI
;C1;4111MASSANDJE;4111MASSANDJE;4111MASSANDJE;BAMBA MASSANDJE;CI-GRDBSM-2024A-2002;2024-08-23T01:20:24;ABIDJAN;XOF; ;20000000.0;ES3;HYACINTHEK;OLGA;0709555774;300;2024-08-23T01:20:24;AIRSI
;01;4111MAYAKELY;4111MAYAKELY;4111MAYAKELY;MAYAKELY MARIE; ;2022-09-09T22:52:36; ;XOF; ;1000000.0;CC1;SYNA;OLGA;0142459280;300;2024-05-13T00:09:51;AIRSI
;C1;4111MBO-ARRA;4111MBO-ARRA;4111MBO-ARRA;VALENTINE ARRA MBO; ;2023-09-09T23:26:32;ABIDJAN;XOF; ;8000000.0;CC1;HYACINTHEK;HYACINTHEK; ;300;2024-05-13T00:09:51;AIRSI
;01;4111MEHDI;4111MEHDI;4111MEHDI;ETS MEHDI;CI-ABJ-2013-A-9963;2021-09-17T03:54:50;ABIDJAN;XOF;1336682X;500000.0;CH15JFIN15;DAHAN;OLGA; ;200;2025-06-24T07:08:11;NOR
;C1;4111MEILLEURPRI;4111MEILLEURPRI;4111MEILLEURPRI;SUPERMARCHE MEILLEUR PRIX ;CIABJ032024-B13-0826;2024-10-02T21:25:20;ABIDJAN;XOF;2403635F;1000000.0;CC1;TOURE;OLGA;0584555594;200;2024-12-21T22:38:07;AIRSI
;01;4111MEMEL;4111MEMEL;4111MEMEL;NGOHOU KACOU MEMEL; ;2021-09-08T21:17:53;ABIDJAN;XOF; ;3000000.0;CC1;SYNA;OLGA;0707336676;300;2024-08-31T23:21:17;AIRSI
;C1;4111MERVEILLE;4111MERVEILLE;4111MERVEILLE;LES MERVEILLES D'AICHA ;BFOUA-01-2022A10-467;2024-05-24T01:48:49;ABIDJAN;XOF; ;5000000.0;CC1;SERGEMOTTO;SERGEMOTTO;0022670314731;100;2024-05-24T01:48:49;AIRSI
;01;4111MIAM;4111MIAM;4111MIAM;SPEED MIAM;CI-ABJ-2016-B-3547;2021-10-01T03:51:39;ABIDJAN;XOF;1607405B;0.0;CC1;SERAPHIN;OLGA; ;300;2024-05-13T00:09:51;NOR
;C2;4111MIDEZ;4111MIDEZ;4111MIDEZ;MIDEZ;CIGRDBSM2022-B11809;2025-01-29T00:13:10;GRAND BASSAM;XOF;2301900L;0.0;CH10;ASSAMOI;OLGA;077286044;400;2025-01-29T00:13:10;AIRSI
;01;4111MINA-CENTER;4111MINA-CENTER;4111MINA-CENTER;EHD MOHAMED LEMINE (MINA CENTER); ;2022-07-18T21:26:51; ;XOF; ;0.0;CC1;TOURE;OLGA; ;200;2024-05-13T00:09:51;NOR
;01;4111MINI-MARKET;4111MINI-MARKET;4111MINI-MARKET;MINI MARKET;CI-GRDBSM-2018-A1119;2023-03-30T22:42:09;PORTBOUET;XOF;1256119A;1000000.0;CH15DFAC;CODJO;OLGA; ;200;2025-04-18T02:20:30;AIRSI
;01;4111MIROSEL;4111MIROSEL;4111MIROSEL;MIROSEL KOUASSI; ;2021-04-19T21:25:07; ;XOF; ;8000000.0;CC1; ; ; ;300;2024-05-13T00:09:51;AIRSI
;C1;4111MISA;4111MISA;4111MISA;MISA SERVCE-ORYX BINGERVILLE;CIABJ032021B1302978;2025-04-14T21:36:22;ABIDJAN;XOF;2138009B;0.0;CC1;SERAPHIN;OLGA;0758829202;200;2025-04-14T21:36:22;AIRSI
;01;4111MIXNUTS;4111MIXNUTS;4111MIXNUTS;MIX NUTS; ;2021-10-06T03:12:49;ABIDJAN;XOF;95412864K;1000000.0;CHFM10;CODJO;AYEKOUE;2721267507;200;2024-08-13T07:41:56;NOR
;C1;4111MOHAMED;4111MOHAMED;4111MOHAMED;SAWADOGO MOHAMED; ;2023-11-22T23:46:32;ABIDJAN;XOF; ;5000000.0;CC1;KANI;OLGA;0707747064;300;2024-08-31T20:20:11;AIRSI
;01;4111MONDIAL;4111MONDIAL;4111MONDIAL;MONDIAL;CI-ABJ-2016-B-19613;2021-12-10T05:19:14; ;XOF;1637783 S;15000000.0;FRCHQ30FM15;SERGEMOTTO;OLGA; ;400;2025-06-19T21:50:28;NOR
;C2;4111MONDOUKOU;4111MONDOUKOU;4111MONDOUKOU;MONDOUKOU RESORT ;CIGRDBSM-2023B-5723;2024-12-20T23:00:36;GRAND-BASSAM;XOF;2302768A;500000.0;CH15DFAC;ASSAMOI;OLGA; ;400;2025-01-14T20:36:33;NOR
;C1;4111MOPLURIEL;4111MOPLURIEL;4111MOPLURIEL;MO PLURIEL;CIGRDBSM2024B5458;2024-12-11T23:13:35;ABIDJAN;XOF;2401977E;500000.0;CH15DFAC;DABA;OLGA;0747676193;400;2024-12-11T23:14:26;AIRSI
;C1;4111MOUMINI;4111MOUMINI;4111MOUMINI;YOUGBARE MOUMINI; ;2024-03-15T23:17:04;ABIDJAN;XOF; ;5000000.0;CC1;KANI;OLGA;0707899387;300;2024-09-19T07:27:35;AIRSI
;01;4111MOVENPICK;4111MOVENPICK;4111MOVENPICK;MOVENPICK ABIDJAN;CI-ABJ-2018-M10021;2022-10-18T02:58:50; ;XOF;1745820F;20000000.0;ES7;OLGA;OLGA;0747794082;400;2025-05-27T22:54:48;NOR
;C1;4111MUGETRA;4111MUGETRA;4111MUGETRA;MUGETRA - GHANDOUR; ;2024-08-22T07:18:26;ABIDJAN;XOF; ;5000000.0;CC1;CODJO;OLGA;0504160222;100;2024-08-22T07:18:26;AIRSI
;C1;4111MUNEST;4111MUNEST;4111MUNEST;MUTUELLE NESTLE-CI; ;2024-03-19T03:32:47;ABIDJAN;XOF;1333439Y;5000000.0;CHFM10;CODJO;OLGA;0504929464;100;2024-08-03T03:28:04;AIRSI
;C1;4111NACCI;4111NACCI;4111NACCI;NAC-CI;CIABJ-03-2022B120404;2024-05-07T02:20:50;ABIDJAN;XOF;2243351C;1500000.0;CC1;CODJO;OLGA;0788855195;400;2024-10-12T04:27:42;AIRSI
;C2;4111NAHOUI;4111NAHOUI;4111NAHOUI;SOCIETE DE GESTION HOTEL NAHOUI;CISAS2016132982;2024-03-19T05:39:00;ABIDJAN;XOF;1701167U;1000000.0;CC1;DABA;OLGA;0778877454;400;2024-08-06T05:54:17;NOR
;01;4111NAHOUNOU;4111NAHOUNOU;4111NAHOUNOU;NAHOUNOU VAERE JULES; ;2022-03-02T04:43:36; ;XOF; ;1000000.0;CC1;SYNA; ; ;300;2022-03-02T04:43:36;AIRSI
;C2;4111NAKADY;4111NAKADY;4111NAKADY;NAKADY SUPERMARCHE ;CIGRDBASM-2023-B5202;2024-05-22T04:50:21;GRAND BASSAM;XOF;2302649W;250000.0;ES3;TOURE;OLGA;077753379;200;2024-05-22T04:50:36;AIRSI
;01;4111NAMA-RESTAU;4111NAMA-RESTAU;4111NAMA-RESTAU;NAMA RESTAURANT;CI-ABJ032021B1201234;2023-03-02T21:51:07;PLATEAU;XOF;2120290F;500000.0;FRCHQ30FAC-;ASSAMOI;OLGA; ;400;2024-05-13T00:09:51;NOR
;01;4111NAQ;4111NAQ;4111NAQ;ETS HALL BUSNESS;CI-GRDBSM-2018-A-623;2023-04-18T01:16:19;ABIDJAN-PORTBOUET;XOF;1513113E;500000.0;CH15DFAC;CODJO;OLGA; ;200;2024-05-13T00:09:51;NOR
;01;4111NAQ-CI;4111NAQ-CI;4111NAQ-CI;NOUVELLE AFRICAN QUEEN'S CI (NAQ-CI;CI-ABJ-2015-B-126;2023-03-06T21:50:14;PLATEAU;XOF;1500289P;1000000.0;CC1;ASSAMOI;OLGA; ;400;2025-06-26T21:21:28;AIRSI
;01;4111NASSAR;4111NASSAR;4111NASSAR;NASSAR HASSAN HABIB; ;2021-11-26T01:34:57; ;XOF; ;500000.0;CC1;ASSAMOI;OLGA; ;400;2025-03-20T01:16:08;NOR
;C1;4111NAVITRANS;4111NAVITRANS;4111NAVITRANS;NAVITRANS CI;CIABJ032024M21608;2024-11-05T22:20:35;ABIDJAN;XOF;7300260A;5000000.0;CH10;SERGEMOTTO;OLGA;2721275343;100;2024-11-12T23:32:51;NOR
;C1;4111NAVYBLUE;4111NAVYBLUE;4111NAVYBLUE;NAVY BLUE;CIABJ2020B-02386;2024-09-24T02:25:12;ABIDJAN;XOF;2009285F;1000000.0;CH15DFAC;DABA;OLGA;0707725978;400;2024-09-24T02:25:12;AIRSI
;01;4111NDA-MARK;4111NDA-MARK;4111NDA-MARK;NDA MARK; ;2023-02-09T04:59:30;ABIDJAN ;XOF; ;5000000.0;CC1;SYNA;OLGA; ;300;2024-05-13T00:09:51;AIRSI
;C1;4111NDEDE;4111NDEDE;4111NDEDE;N'DEDE MOUA HUGUES; ;2024-06-12T03:51:44;ABIDJAN;XOF; ;5000000.0;CC1;CODJO;OLGA;0708388389;300;2024-06-12T03:51:44;AIRSI
;C1;4111NDEPOANDCO;4111NDEPOANDCO;4111NDEPOANDCO;N'DEPO AND CO;CIABJ032023B1312119;2025-01-14T22:02:36;ABIDJAN;XOF; ;500000.0;CH15DFAC;CODJO;OLGA; ;200;2025-04-04T03:52:31;AIRSI
;01;4111NDJOBOMOLO;4111NDJOBOMOLO;4111NDJOBOMOLO;NDJOBO MOLO JESUS;CI-ABJ-2015-A-7325;2022-12-21T23:38:59;YOPOUGON;XOF;1923741W;500000.0;ES3;PHILGENCE;OLGA; ;200;2024-08-23T05:38:33;NOR
;01;4111NDSERVICES;4111NDSERVICES;4111NDSERVICES;N.D. SERVICES; ;2022-01-19T05:08:13;ABIDJAN;XOF;0910167H;250000.0;CH15DFAC;TOURE;OLGA;2721561191;200;2024-05-13T00:09:51;NOR
;C1;4111NEBOUA;4111NEBOUA;4111NEBOUA;NEBOUA AFFRAN ROSALIE ; ;2024-07-18T20:28:04;ABIDJAN;XOF; ;20000000.0;CC1;KANI;OLGA;0757045475;300;2024-08-31T20:21:27;AIRSI
;01;4111NEM-SHELL;4111NEM-SHELL;4111NEM-SHELL;NOUVELLE ESPRIT DE MANAGER(SHELL);CI-ABJ-2007-A-6589;2023-04-28T01:23:22;YOPOUGON;XOF;0814183N;250000.0;CC1;SERAPHIN;OLGA; ;900;2025-02-09T02:50:53;NOR
;01;4111NET-PANIER;4111NET-PANIER;4111NET-PANIER;NET PANIER; ;2021-12-08T04:50:09; ;XOF; ;500000.0;CC1;TOURE;OLGA; ;200;2025-01-17T21:18:05;AIRSI
;C1;4111NGUATTA;4111NGUATTA;4111NGUATTA;N'GUATTA FRANCOIS; ;2023-09-12T22:00:34;ABIDJAN;XOF; ;20000000.0;CC1;KANI;OLGA; ;300;2024-08-10T05:27:34;AIRSI
;C1;4111NIKADO;4111NIKADO;4111NIKADO;NIKADO - PETRO IVOIRE ABATTA;CIABJ032024B1206988;2025-01-14T01:41:57;ABIDJAN;XOF;2403507U;430000.0;CC1;SERAPHIN;OLGA;0707484646;900;2025-07-11T20:42:01;AIRSI
;C1;4111NOLA;4111NOLA;4111NOLA;RESTAURANT NOLA;CIABJ03-2022-B12-042;2024-06-26T06:59:20;ABIDJAN;XOF;2243035Y;500000.0;CH1;CODJO;OLGA;0700867044;400;2025-05-20T21:52:45;AIRSI
;C1;4111NORAL;4111NORAL;4111NORAL;NORAL;CI-ABJ2017B24638;2024-03-19T22:26:12;ABIDJAN;XOF;1753149J;10000000.0;ES7;OLGA;OLGA;0708827300;400;2024-12-25T02:43:52;NOR
;01;4111NOVOTEL;4111NOVOTEL;4111NOVOTEL;NOVOTEL; ;2022-06-15T22:03:20; ;XOF; ;10000000.0;FRCHQ30FM10;OLGA;OLGA; ;400;2024-10-04T23:21:42;NOR
;C2;4111NR-MARKET;4111NR-MARKET;4111NR-MARKET;NOUR MARKET;CI-GRDBSM2023B6653;2024-02-14T01:24:26;GRAND BASSAM ;XOF;2303604N;1000000.0;CC1;TOURE;OLGA;0759843079;200;2024-05-13T00:09:51;AIRSI
;01;4111NUSHI;4111NUSHI;4111NUSHI;NUSHI SUSHI; ;2021-08-27T23:51:50;ABIDJAN;XOF;1310507A;500000.0;CC1;CODJO;SERGEMOTTO;0778555739;400;2024-08-13T07:25:29;NOR
;C1;4111NUTRIVOIRE;4111NUTRIVOIRE;4111NUTRIVOIRE;NUTRIVOIRE;CI-ABJ2006B4732;2024-07-26T23:01:50;ABIDJAN;XOF;4116561L;5000000.0;CC1;SERGEMOTTO;OLGA;0757742824;100;2024-07-26T23:01:50;NOR
;01;4111O-CAPSUD;4111O-CAPSUD;4111O-CAPSUD;O CAP SUD ( LE PECHEUR );CI-ABJ-2018-B-07698;2023-03-09T06:07:15;MARCORY;XOF;1816066J;500000.0;CHFM10;CODJO;OLGA; ;400;2025-03-19T23:46:45;NOR
;C1;4111OBAMA;4111OBAMA;4111OBAMA;SUPERMARCHE RAMOS OBAMA ;CI-ABJ-2019-B-06587;2024-03-19T22:12:42;ABIDJAN;XOF;1916204W;500000.0;CH15DFAC;PHILGENCE;OLGA;0748202286;200;2025-06-23T22:14:47;NOR
;C1;4111OBM;4111OBM;4111OBM;OH BANH MI SARL ;CIABJ-03-2022-B12053;2024-05-07T03:06:02;ABIDJAN;XOF;2243604;1500000.0;CH10;CODJO;OLGA;0787150806;400;2024-05-13T00:09:51;AIRSI
;01;4111ODROKO;4111ODROKO;4111ODROKO;ODROKO GUILLAUME; ;2022-03-11T22:01:13; ;XOF; ;2000000.0;CC1;SYNA; ; ;300;2022-03-11T22:01:13;AIRSI
;01;4111OG;4111OG;4111OG;SUPERMARCHE OG;CI-GRDBSM-2022B-6692;2022-08-04T23:03:10; ;XOF; ;250000.0;CC1;TOURE;OLGA;0747929476;200;2024-05-13T00:09:51;AIRSI
;C1;4111OG-FOOD;4111OG-FOOD;4111OG-FOOD;OG FOOD;CI-ABJ032023B1300309;2023-12-19T05:25:34;ABIDJAN MARCORY;XOF;2300125U;250000.0;CC1;TOURE;OLGA;0779995220;200;2024-05-13T00:09:51;AIRSI
;01;4111OGNIMO;4111OGNIMO;4111OGNIMO;OGNIMO LILIANE ARMANDE; ;2022-03-02T04:06:44; ;XOF; ;2000000.0;CC1;SYNA; ; ;300;2022-03-02T04:06:44;AIRSI
;C1;4111OGOURMET;4111OGOURMET;4111OGOURMET;O'GOURMET; ;2025-02-21T03:14:14;ABIDJAN;XOF; ;2000000.0;FRCHQ30FAC;CODJO;OLGA;0707010537;400;2025-05-13T02:02:13;AIRSI
;01;4111OKIN;4111OKIN;4111OKIN;OKIN SEMIU OJO; ;2023-01-18T00:23:56;ABIDJAN;XOF; ;3000000.0;ES1;HYACINTHEK;OLGA; ;300;2025-03-13T17:34:27;AIRSI
;C1;4111OLAPORTBOUE;4111OLAPORTBOUE;4111OLAPORTBOUE;OLA ENERGY PORT BOUET ;CI-ABJ2019-B-13624;2024-09-20T00:10:34;ABIDJAN;XOF;1938301D;500000.0;CC1;SERAPHIN;OLGA;0564899222;900;2024-09-20T00:10:34;AIRSI
;C1;4111OMOINS-CHER;4111OMOINS-CHER;4111OMOINS-CHER;O'MOINS CHERS;CI-ABJ032023B1304467;2023-10-06T22:27:34;COCODY ABATTA;XOF;2303253S;250000.0;CC1;TOURE;OLGA; ;200;2025-01-22T00:14:51;AIRSI
;01;4111ONGAGBVILLE;4111ONGAGBVILLE;4111ONGAGBVILLE;ONG AGBOVILLE; ;2022-02-18T02:06:18;ABIDJAN;XOF; ;5000000.0;FRCHQ07DF;BAMBA;OLGA; ;300;2025-06-05T04:09:54;AIRSI
;C1;4111OPS-CI;4111OPS-CI;4111OPS-CI;OVERSEAS PACIFIC SERVICES COTE D'IV;CI-ABJ032024B1202907;2024-07-26T20:49:50;ABIDJAN;XOF; ;2000000.0;CC1;OLGA;OLGA;0173281515;100;2025-05-15T06:45:26;AIRSI
;01;4111OPTIMUM;4111OPTIMUM;4111OPTIMUM;OPTIMUM GROUP;CI-ABJ-032022M09365;2022-07-20T01:52:27;COCODY PALMERAIE;XOF;1106368N;25000000.0;CH15;SERGEMOTTO;OLGA;0709090606;100;2025-01-31T05:51:00;NOR
;01;4111OPUS;4111OPUS;4111OPUS;OPUS'IN; ;2022-02-01T20:14:31; ;XOF; ;300000.0;CC1;DABA;OLGA; ;400;2024-08-13T07:23:39;AIRSI
;C1;4111ORYXBING;4111ORYXBING;4111ORYXBING;ORYX ANAN BINGERVILLE; ;2025-03-11T04:35:02;ABIDJAN;XOF; ;500000.0;CC1;SERAPHIN;OLGA;0758829202;900;2025-03-11T04:35:43;AIRSI
;C1;4111ORYXVIATEUR;4111ORYXVIATEUR;4111ORYXVIATEUR;ORYX SAINT VIATEUR ;CI ABJ03-2023B13-029;2024-09-20T00:22:04; ;XOF;2301168M;500000.0;CC1;SERAPHIN;OLGA; ;900;2025-01-29T20:25:30;AIRSI
;01;4111OTAKKOS;4111OTAKKOS;4111OTAKKOS;RESTAURANT OTAKKOS;CI-ABJ-2018-A-19135;2021-09-10T04:46:48;ABIDJAN;XOF;1847536M;5000000.0;CHFM10;SERGEMOTTO;SERGEMOTTO;0748994914;400;2025-05-26T23:51:21;NOR
;01;4111OUEDRA-DIS;4111OUEDRA-DIS;4111OUEDRA-2PLA;OUEDRA-DIS (SUPER PRIX 2 PLATEAUX);CI-ABJ-2019-B-01575;2023-05-10T22:15:47;ABOBO;XOF;1905054Y;0.0;ES3;TOURE;OLGA; ;200;2024-06-21T22:07:07;NOR
;01;4111OUEDRA-DIS;4111OUEDRA-DIS;4111OUEDRA-DIS;OUEDRA-DIS (SUPER PRIX);CI-ABJ-2019-B-01575;2022-12-13T06:05:36;ABOBO;XOF;1905054Y;250000.0;ES3;TOURE;OLGA; ;200;2024-06-21T22:07:07;NOR
;01;4111OUEDRAOGO;4111OUEDRAOGO;4111OUEDRAOGO;OUEDRAOGO ADAMA; ;2022-02-18T02:08:52;ABIDJAN;XOF; ;5000000.0;CC1;SYNA;OLGA; ;300;2024-09-18T23:35:27;AIRSI
;01;4111OULAITIA;4111OULAITIA;4111OULAITIA;OULAI TIA PAUL; ;2022-12-15T02:01:30; ;XOF; ;8000000.0;CC1;HYACINTHEK;OLGA; ;300;2024-05-13T00:09:51;AIRSI
;01;4111OUMAR;4111OUMAR;4111OUMAR;OUMAR BANSSE; ;2021-11-29T20:35:13;ABIDJAN;XOF; ;10000000.0;CHFM10;DABA;OLGA; ;400;2025-03-24T22:05:01;AIRSI
;01;4111OUSSENI;4111OUSSENI;4111OUSSENI;OUEDRAOGO OUSSENI; ;2022-03-04T20:40:24;ABIDJAN;XOF;2022166K;3000000.0;CC1;SYNA; ; ;400;2022-03-04T20:40:24;AIRSI
;01;4111P-7DEC;4111PROSUMA;4111P-7DEC;PROSUMA CASH IVOIRE 7 DEC; ;2022-12-06T02:35:49; ;XOF;5011806 N;300000.0;CH15JFIN15;OLGA;OLGA; ;200;2024-12-05T19:57:15;NOR
;01;4111P-ADJAME220;4111PROSUMA;4111P-ADJAME220;PROSUMA CASH IVOIRE ADJAME 220 LGTS; ;2022-11-04T22:06:04; ;XOF;5011806 N;0.0;CH15JFIN15;OLGA;OLGA; ;200;2024-05-13T00:09:51;NOR
;01;4111P-ANANERAIE;4111PROSUMA;4111P-ANANERAIE;PROSUMA CASH IVOIRE ANANERAIE; ;2022-11-05T05:43:46; ;XOF;5011806 N;100000.0;CH15JFIN15;OLGA;OLGA; ;200;2024-11-06T02:02:57;NOR
;01;4111P-ANGRE8E;4111PROSUMA;4111P-ANGRE8E;PROSUMA CASH IVOIRE ANGRE 8E TRANCH; ;2023-02-27T22:27:15; ;XOF;5011806 N;1000000.0;CH15JFIN15;OLGA;OLGA; ;200;2024-11-14T02:23:25;NOR
;01;4111P-ANTENNE;4111PROSUMA;4111P-ANTENNE;PROSUMA CASH IVOIRE ANTENNE; ;2022-06-14T00:24:55; ;XOF;5011806 N;500000.0;CH15JFIN15;OLGA;OLGA; ;200;2024-12-05T00:01:13;NOR
;01;4111BONPRIX;4111BONPRIX;4111P-ASSINIE;PROSUMA BON PRIX ASSINIE; ;2022-10-28T01:21:41; ;XOF;5011806 N;0.0;CH15JFIN15;OLGA;OLGA; ;200;2025-04-30T03:42:41;NOR
